ISCO08,Description,Definitions,Tasks include,Subgroups
541,Protective services workers,"Protective services workers protect individuals and property against fire and other hazards, maintain law and order and enforce laws and regulations.","Protective services workers protect individuals and property against fire and other hazards, maintain law and order and enforce laws and regulations.",Occupations in this minor group are classified into the following unit groups: 5411 Fire fighters 5412 Police Officers 5413 Prison Guards 5414 Security Guards 5419 Protective Services Workers Not Elsewhere Classified
611,Market gardeners and crop growers,"Market gardeners and crop growers plan, organize and perform operations to grow and harvest field crops, to grow fruit and other tree and shrub crops, to grow garden vegetables and medicinal and other plants; and to produce horticultural and horticultural nurseries products, for sale or delivery on a regular basis to wholesale buyers, marketing organisations or at markets.","Tasks performed usually include: monitoring market activity and conditions, determining types and quantities of crops to be grown, and planning and coordinating production accordingly; purchasing seeds, bulbs and fertilizer; investing in land and land improvements; preparing land and sowing, planting, cultivating and harvesting various crops; tending working animals and maintaining farm buildings, machinery and equipment; producing saplings, bulbs and seeds; storing and carrying out some processing of produce; delivering or marketing farm products. Supervision of other workers may be included.",Occupations in this minor group are classified into the following unit groups: 6111 Field Crop and Vegetable Growers 6112 Tree and Shrub Crop Growers 6113 Gardeners; Horticultural and Nursery Growers 6114 Mixed Crop Growers
612,Animal producers,"Animal producers plan, organize and perform farming operations to breed and raise domesticated animals, poultry, insects and non-domesticated animals for the production of meat, dairy products, honey, skins, textiles and other products, or for use as working, sporting or recreational animals, for sale or delivery to wholesale buyers, marketing organizations or at markets.","Task performed usually include: monitoring market activity and conditions, determining kinds and amounts of products to produce and planning and coordinating production accordingly; raising, feeding and tending animals; preparing animals or animal products for market; monitoring and examining animals to detect illness, injury, or disease, and to check physical condition such as rate of weight gain; performing duties related to animal reproduction, such as breeding, artificial insemination and helping with animal births; renting or investing in and maintaining and cleaning buildings, machinery, equipment and structures; storing and carrying out some processing of produce; promoting and marketing products, arranging the sale, purchase and transportation of stock, produce and supplies, and maintaining and evaluating records of activities and transactions; training and supervising workers in animal care procedures, maintenance duties and health and safety precautions, and hiring and discharging workers and contractors.",Occupations in this minor group are classified into the following unit groups: 6121 Livestock and Dairy Producers 6122 Poultry Producers 6123 Apiarists and Sericulturists 6129 Animal Producers Not Elsewhere Classified
613,Mixed crop and animal producers,"Mixed crop and animal producers plan, organize and perform farming operations to grow and harvest field, tree and various other crops, as well as to breed, raise and tend animals and to produce a variety of animal husbandry products, for sale or delivery to wholesale buyers, marketing organizations or at markets.","Tasks performed usually include: monitoring market activity and conditions, determining kinds and amounts of crops to be grown and animals to be raised, and planning and coordinating production accordingly; purchasing seeds, fertilizer and other supplies; performing operations such as land preparation and sowing, planting, cultivating and harvesting crops; producing or buying fodder and other food supplies; breeding, raising and tending animals; killing and skinning animals, and preparing animals or animal products for market; renting or investing in, and maintaining and cleaning, farm buildings, machinery, equipment and structures; storing and carrying out some processing of produce; promoting and marketing products, arranging the sale, purchase and transportation of livestock, produce and supplies, and maintaining and evaluating records of farm activities and transactions; training and supervising workers in animal care procedures, maintenance duties and health and safety precautions, and hiring and discharging workers and contractors.",Occupations in this minor group are classified into the following unit group: 6130 Mixed Crop and Animal Producers
621,Forestry and related workers,"Forestry and related workers plan, organize and perform operations to cultivate, conserve and exploit natural and plantation forests.","Tasks performed usually include: assessing sites for reforestation, selecting seedlings and planting trees using manual planting tools, and establishing and caring for forest stands; locating trees to be felled and estimating volume of timber; operating chainsaw and other power saws to thin young forest stands, trim, top and fell trees and saw them into logs; shaping rough wooden products from logs at felling site; stacking logs and loading them in chutes or floating them down rivers; keeping watch to detect forest fires, participating in firefighting operations, completing firefighting reports and maintaining firefighting equipment; controlling weeds and undergrowth in regenerating forest stands, using manual tools and chemicals; operating and maintaining a skidder, bulldozer or other prime mover to pull a variety of scarification or site preparation equipment over areas to be regenerated; collecting seed cones, pruning trees, assisting in planting surveys and marking trees for subsequent operations; training and supervising other workers in forestry procedures, including forestry labourers and plant operators.",Occupations in this minor group are classified into the following unit group: 6210 Forestry and Related Workers
622,"Fishery workers, hunters and trappers","Fishery workers, hunters and trappers breed and raise fish, harvest and catch fish, and hunt and trap animals, for sale or delivery on a regular basis to wholesale buyers, marketing organizations or at markets.","Tasks performed usually include: breeding, raising and cultivating fish, mussels, oysters and other forms of aquatic life as cash crops or for release into freshwater or saltwater; monitoring environments to ensure maintenance of optimum conditions for aquatic life; cleaning, freezing, icing or salting catch on- or offshore and preparing fish and other products for shipment; renting or investing in and maintaining buildings, tanks, machinery, fishing vessels and other equipment; preparing and repairing nets and other fishing gear and equipment; operating fishing vessels to, from and at fishing grounds; baiting, setting, operating and hauling in fishing gear; setting traps to catch mammals, birds or reptiles; delivering or marketing products; supervising and training other workers.",Occupations in this minor group are classified into the following unit groups: 6221 Aquaculture Workers 6222 Inland and Coastal Waters Fishery Workers 6223 Deep-sea Fishery Workers 6224 Hunters and Trappers
631,Subsistence crop farmers,"Subsistence crop farmers grow and harvest field or tree and shrub crops, vegetables and fruit, in order to provide food, shelter and, in some cases, a minimum of cash income for themselves and their households.","Tasks performed usually include: preparing the soil and sowing, planting, tending and harvesting field crops; growing vegetables, fruit and other tree and shrub crops; fetching water and gathering firewood; storing for later use and carrying out some processing of produce; building and maintaining houses and other shelters; making tools, clothes and utensils for use by the household; selling or bartering some products at local markets.",Occupations in this minor group are classified into the following unit groups: 6310 Subsistence Crop Farmers
632,Subsistence livestock farmers,"Subsistence livestock farmers breed, raise and tend livestock in order to provide food, shelter and, in some cases, a minimum of cash income for themselves and their households.","Tasks performed usually include: cultivating pastures, or managing grazing lands, and monitoring feed and water supplies needed to maintain condition of livestock; monitoring and examining animals to detect illness, injury, or disease, and to check physical condition; grooming and marking animals and shearing coats to collect hair or wool; herding or leading livestock to pastures, grazing land and water supplies; raising, tending, feeding and milking animals or draining blood from them; breeding animals and helping with animal births; slaughtering and skinning animals and preparing them and their products for consumption or sale; carrying out some processing of animal products; building and maintaining houses and other shelters; making tools, clothes and utensils for use by the household; fetching water and gathering firewood; buying, bartering and selling animals and some products.",Occupations in this minor group are classified into the following unit groups: 6320 Subsistence Livestock Farmers
633,Subsistence mixed crop and livestock farmers,"Subsistence mixed crop and livestock farmers grow and harvest field or tree and shrub crops, vegetables and fruit, gather wild fruits, medicinal and other plants, tend or hunt animals, and/or catch fish and gather various forms of aquatic life in order to provide food, shelter and, in some cases, a minimum of cash income for themselves and their households.","Tasks performed usually include: preparing the soil and sowing, planting, tending and harvesting field crops; growing vegetables, fruit and other tree and shrub crops; gathering wild fruits and medicinal and other plants; breeding, tending and feeding animals and poultry mainly to obtain meat, eggs, milk, hair, skin or other products; fetching water and gathering firewood; storing produce for later use and carrying out some processing of produce; building and maintaining houses and other shelters; making tools, clothes and utensils for use by the household; selling or bartering some products at local markets.",Occupations in this minor group are classified into the following unit groups: 6330 Subsistence Mixed Crop and Livestock Farmers
634,"Subsistence fishers, hunters, trappers and gatherers","Subsistence fishers, hunters, trappers and gatherers gather wild fruits, medicinal and other plants, hunt and trap animals, catch fish and gather various forms of aquatic life in order to provide food, shelter and, in some cases, a minimum of cash income for themselves and their households.","Tasks performed usually include: gathering wild fruits, roots, medicinal and other plants; hunting or trapping animals mainly to obtain meat, milk, hair, skin or other products; fetching water and gathering firewood; catching fish and gathering other forms of aquatic life; storing or carrying out some processing of their produce; building and maintaining houses and other shelters; making tools, clothes and utensils for use by the household; selling or bartering some products at local markets.","Occupations in this minor group are classified into the following unit groups: 6340 Subsistence Fishers, Hunters, Trappers and Gatherers"
711,Building frame and related trades workers,"Building frame and related trades workers construct, maintain and repair buildings; erect and repair foundations, walls and structures of brick, stone and similar materials; and shape and finish stone for building and other purposes; and perform miscellaneous construction and building maintenance tasks.","Tasks performed usually include: constructing, maintaining and repairing buildings and other structures by using traditional and/or modern building techniques; constructing and repairing foundations, walls and structures of brick, stone and similar materials; breaking quarried stone into slabs or blocks; cutting, shaping and finishing stone for building, ornamental, monumental and other purposes; erecting reinforced concrete frameworks and structures as well as finishing and repairing cement surfaces; cutting, shaping, assembling and maintaining wooden structures and fittings; performing miscellaneous construction and building maintenance tasks. Supervision of other workers may be included.","Occupations in this minor group are classified into the following unit groups: 7111 House Builders 7112 Bricklayers and Related Workers 7113 Stonemasons, Stone cutters, Splitters and Carvers 7114 Concrete Placers, Concrete Finishers and Related Workers 7115 Carpenters and Joiners 7119 Building Frame and Related Trades Workers Not Elsewhere Classified"
712,Building finishers and related trades workers,"Building finishers and related trades workers cover, apply or install, maintain and repair roofs, floors, walls, insulation systems, glass in windows or other frames, as well as plumbing, piping and electrical systems in buildings and other structures.","Tasks performed usually include: covering roof frameworks with one or more kinds of material; installing parquet and other kinds of flooring or covering floors and walls with tiles or mosaic panels; applying plaster to walls and ceilings; applying insulating material to walls, floors and ceilings; cutting, fitting and setting glass in windows and similar openings; installing plumbing and pipeline systems; installing electrical wiring and related equipment. Supervision of other workers may be included.",Occupations in this minor group are classified into the following unit groups: 7121 Roofers 7122 Floor Layers and Tile Setters 7123 Plasterers 7124 Insulation Workers 7125 Glaziers 7126 Plumbers and Pipe Fitters 7127 Air Conditioning and Refrigeration Mechanics
713,"Painters, building structure cleaners and related trades workers","Painters, building structure cleaners and related trades workers prepare surfaces and apply paint and similar materials to buildings and other structures, vehicles or various manufactured articles. They cover interior walls and ceilings with wallpaper, clean chimneys and exterior surfaces of buildings and other structures.","Tasks performed usually include: preparing surfaces and applying paint and similar materials to buildings and other structures; applying paint or varnish to vehicles or various manufactured articles, usually with a hand-spraying device; covering interior walls and ceilings with wallpaper, silk or other fabrics; cleaning chimneys; cleaning exterior surfaces of buildings and other structures. Supervision of other workers may be included.",Occupations in this minor group are classified into the following unit groups: 7131 Painters and Related Workers 7132 Spray Painters and Varnishers 7133 Building Structure Cleaners
721,"Sheet and structural metal workers, moulders and welders, and related workers","Sheet and structural metal workers, moulders and welders, and related workers, make moulds and cores for casting metal, weld and cut metal parts, make and repair articles of sheet metal, and install, erect, maintain and repair heavy metal structures, tackle, cable-cars and related equipment.","Tasks performed usually include: making moulds and cores for casting metal; casting, welding and shaping metal parts; making and repairing articles of sheet metal such as sheet steel, copper, tin or brass; installing, erecting, maintaining and repairing heavy metal structures as well as tackle, cable cars and related equipment.",Occupations in this minor group are classified into the following unit groups: 7211 Metal Moulders and Coremakers 7212 Welders and Flame Cutters 7213 Sheet Metal Workers 7214 Structural Metal Preparers and Erectors 7215 Riggers and Cable Splicers
722,"Blacksmiths, toolmakers and related trades workers","Blacksmiths, toolmakers and related trades workers, hammer and forge bars, rods or ingots of iron, steel and other metals to make and repair various kinds of tools, equipment and other articles; set machine tools for operators or set and operate various machine tools; and polish and sharpen surfaces.","Tasks performed usually include: hammering and forging iron, steel and other metals to make and repair various kinds of tools, equipment and other articles; setting machine tools for operators, or setting and operating various machine tools working to fine tolerances; polishing and sharpening metal surfaces and tools.","Occupations in this minor group are classified into the following unit groups: 7221 Blacksmiths, Hammersmiths and Forging Press Workers 7222 Toolmakers and Related Workers 7223 Metal Working Machine Tool Setters and Operators 7224 Metal Polishers, Wheel Grinders and Tool Sharpeners"
723,Machinery mechanics and repairers,"Machinery mechanics and repairers fit, install, maintain and repair engines, vehicles, agricultural or industrial machinery and similar mechanical equipment.","Tasks performed usually include: fitting, installing, maintaining and repairing engines, vehicles, agricultural or industrial machinery and similar mechanical equipment.",Occupations in this minor group are classified into the following unit groups: 7231 Motor Vehicle Mechanics and Repairers 7232 Aircraft Engine Mechanics and Repairers 7233 Agricultural and Industrial Machinery Mechanics and Repairers 7234 Bicycle and Related Repairers
731,Handicraft workers,"Handicraft workers combine artistic and manual skills to design, make, repair, adjust, maintain and decorate precision instruments, musical instruments, jewellery and other precious metals, pottery and porcelain ware. They apply traditional and/or recently developed techniques to carve, mould, assemble, weave and decorate various glass, ceramics, textile, straw, stone, wood and leather articles.","Tasks performed usually include: making, calibrating, repairing, maintaining and installing musical and precision instruments; fabricating, adjusting, repairing or appraising jewellery, ceremonial or religious items, gold, silver, other precious metals, or gems; cutting, filing, polishing and setting precious and semi-precious stones including gems and diamonds, and engraving designs on jewellery and precious metal articles; preparing pottery, porcelain ware, sanitary ware, bricks, tiles and abrasive wheels by hand or by machine; blowing, moulding, pressing, cutting, trimming, grinding and polishing glass, or shaping molten glass according to patterns; decorating articles made of wood, metal, textiles, glass, ceramics and other materials, and planning, laying out and painting letters, figures, monograms and designs to make signs; applying traditional techniques such as seasoning, impregnation to prepare wood, straw, rattan, reeds, stone, clay, shells and other materials, and carving, moulding, assembling, weaving, or painting and decorating various articles for personal or household use, or for decorative purposes; preparing materials to make wicker furniture, brushes and brooms, and weaving various kinds of baskets; applying traditional techniques and patterns to produce woven fabrics, knitted, embroidered and other garments and household articles.","Occupations in this minor group are classified into the following unit groups: 7311 Precision-instrument Makers and Repairers 7312 Musical Instrument Makers and Tuners 7313 Jewellery and Precious-metal Workers 7314 Potters and Related Workers 7315 Glass makers, Cutters, Grinders and Finishers 7316 Signwriters, Decorative Painters, Engravers and Etchers 7317 Handicraft Workers in Wood, Basketry and Related Materials 7318 Handicraft Workers in Textile, Leather and Related Materials 7319 Handicraft Workers Not Elsewhere Classified"
732,Printing trades workers,"Printing trades? workers compose and set type prior to printing, set up and operate printing presses, bind and finish printed products, and prepare stencils and operate screen printing equipment.","Tasks performed usually include: operating graphic cameras and other photographic equipment to reproduce camera-ready copy onto films, plates and digital output devices; operating computer screen-based equipment for scanning, colour separation and correction, retouching and other processes used to transfer copy to film and produce film for plate, cylinder and digital output productions; setting up, operating and monitoring machines used in typesetting, photographing copy, printing and cutting, folding, collating and binding printed material; performing routine finishing operations and machine maintenance; preparing stencils and operating screen printing equipment.",Occupations in this minor group are classified into the following unit groups: 7321 Pre-press Technicians 7322 Printers 7323 Print Finishing and Binding Workers
741,Electrical equipment installers and repairers,"Electrical equipment installers and repairers install, fit and maintain electrical wiring systems and related equipment, electrical machinery and other electrical apparatus and electrical transmission and supply lines and cables.","Tasks performed usually include: installing, maintaining, fitting and adjusting electrical wiring systems, machinery and equipment; examining blueprints, wiring diagrams and specifications to determine sequences and methods of operation; inspecting and testing electrical systems, equipment, cables and machinery to identify hazards, defects, and the need for adjustment or repair; installing maintaining and repairing electrical transmission lines; joining electrical cables.",Occupations in this minor group are classified into the following unit groups: 7411 Building and Related Electricians 7412 Electrical Mechanics and Fitters 7413 Electrical Line Installers and Repairers
742,Electronics and telecommunications installers and repairers,"Electronics and telecommunications installers and repairers fit, maintain, adjust and repair electronic equipment such as commercial and office machines, electronic instruments and control systems; install, repair and maintain telecommunications equipment, data transmission equipment, cables and antennae; and repair, fit and maintain computers.","Tasks performed usually include: examining and testing machines, equipment, instruments and control systems to diagnose faults; adjusting, repairing, and replacing worn and defective parts and wiring, and maintaining machines, equipment and instruments; installing electronic instruments and control systems; fitting and adjusting electronic equipment; maintaining, troubleshooting, fitting, adjusting, testing and repairing computers, data transmission equipment and computer peripherals; installing, maintaining, repairing, and diagnosing malfunctions of microwave, telemetry, multiplexing, satellite and other radio and electromagnetic wave communications systems; providing technical advice and information, and monitoring the performance of complex telecommunications networks and equipment; installing, joining and repairing cabling for computer, radio, telephone and television transmission; installing, maintaining and repairing antennae used in communications.",Occupations in this minor group are classified into the following unit groups: 7421 Electronics Mechanics and Servicers 7422 Information and Communications Technology Installers and Servicers
751,Food processing and related trades workers,"Food processing and related trades workers slaughter animals; treat and prepare them and related food items for human and animal consumptions; make various kinds of bread, cakes and other flour products; process and preserve fruit, vegetables and related foods; taste and grade various food products and beverages; or prepare tobacco and make tobacco products.","Tasks performed usually include: slaughtering animals; treating meat and fish and preparing them and related food items; making various kinds of bread, cakes and other flour products; processing and preserving fruit, vegetables and related foods; tasting and grading various food products and beverages; preparing tobacco and making tobacco products. Supervision of workers may be included.","Occupations in this minor group are classified into the following unit groups: 7511 Butcher, Fishmongers and Related Food Preparers 7512 Bakers, Pastry-cooks and Confectionary Makers 7513 Dairy Products Makers 7514 Fruit, Vegetable and Related Preservers 7515 Food and Beverage Tasters and Graders 7516 Tobacco Preparers and Tobacco Products Makers"
752,"Wood treaters, cabinet-makers and related trades workers","Wood treaters, cabinet-makers and related trades workers preserve and treat wood; make, decorate and repair wooden furniture, vehicles and other wooden products and components and set-up, operate and tend wood seasoning and preserving equipment and woodworking equipment, machines and machine tools.","Tasks performed usually include: operating and tending treating and other equipment to dry lumber and other wood products, and to treat chemically and impregnate wood products with preservatives; setting and operating woodworking machines to cut, shape and form parts and components; studying plans, verifying dimensions of articles to be made, fitting parts together to form complete units and checking the quality and fit of pieces to ensure adherence to specifications; setting and adjusting various kinds of machines for operation by others; setting-up, programming, operating and monitoring several types of woodworking machines to fabricate, repair or refinish wooden parts for furniture, fixtures and other wood products; and reading and interpreting specifications or following verbal instructions.",Occupations in this minor group are classified into the following unit groups: 7521 Wood Treaters 7522 Cabinet-makers and Related Workers 7523 Woodworking Machine Tool Setters and Operators
753,Garment and related trades workers,"Garment and related trades workers fit, alter and repair tailored clothing; design, and make textile and fur garments and leather or fur products; repair, renovate and decorate garments, gloves and other textile products; create patterns for garments; install, repair and replace upholstery of furniture, fixtures, orthopaedic appliances and furnishings of automobiles; trim, scrape, tan, buff and dye animal hides, pelts or skins; and modify and repair footwear and leather articles.","Tasks performed usually include: fitting, altering, repairing tailored clothing; designing and making made-to-measure clothing from textile fabrics, light leather and other material, or make hats or wigs; make garment style changes; creating precision master patterns for production of garments and other textile, leather or fur products; sewing together, joining, darning, repairing, renovating and decorating garments, gloves and other products of textile, fur, light leather and other materials; fabricating and assembling sails, awnings and tarpaulins; installing, repairing and replacing upholstery of furniture, fixtures, orthopaedic appliances, seats, panels and other furnishings of automobiles, railway coaches, aircraft, ships and similar items; trimming, scraping, cleaning, tanning, buffing and dying animal hides, pelts or skins to produce leather stock and finished furs for making garments and other products; making, modifying and repairing standard, custom-made or orthopaedic footwear and natural or synthetic leather articles.","Occupations in this minor group are classified into the following unit groups: 7531 Tailors, Dressmakers, Furriers and Hatters 7532 Garment and related Patternmakers and Cutters 7533 Sewing, Embroidery and Related Workers 7534 Upholsterers and Related Workers 7535 Pelt Dressers, Tanners and Fellmongers 7536 Shoemakers and Related Workers"
754,Other craft and related workers,"Other craft and related workers work under the surface of water, using underwater breathing apparatus; position, assemble, and detonate explosives; inspect and test, raw materials and manufactured components and products; remove unwanted organisms to prevent damage to crops and buildings and other structures. This group includes other trade and craft occupations not classified elsewhere in Major Group 7: Craft and Related Trades Workers.","Tasks performed usually include: ensuring safety precautions; performing various underwater tasks, loading explosives into blast holes; mixing chemicals according to instructions; operating and monitoring equipment for spraying pests and weeds.",Occupations in this minor group are classified into the following unit groups: 7541 Underwater Divers 7542 Shotfirers and Blasters 7543 Product Graders and Testers (excluding Foods and Beverages) 7544 Fumigators and Other Pest and Weed Controllers 7549 Craft and Related Workers Not Elsewhere Classified
811,Mining and mineral processing plant operators,"Mining and mineral processing plant operators operate and monitor plant and machinery and operate hand tools to extract rock and minerals from the earth, process minerals and stone, drill wells and bores, and manufacture and finish cement and stone products.","Tasks performed usually include: setting up, operating and monitoring a variety of mining and mineral processing plant and machinery such as drilling rigs and auxiliary machines and equipment, continuous mining machinery, and cutting, crushing, grinding, pumping and mixing plant and machinery; operating washing, separating, extracting and combining equipment to remove waste and recover minerals; operating plant and machinery to make cement, concrete, artificial stone, and precast concrete and stone products; monitoring the performance of a variety of plant and machinery, detecting malfunctions and taking corrective action; performing plant and machinery maintenance, repairs and cleaning; and maintaining production records.","Occupations in this minor group are classified into the following unit groups: 8111 Miners and Quarriers 8112 Mineral and Stone Processing Plant Operators 8113 Well Drillers and Borers and Related Workers 8114 Cement, Stone and Other Mineral Products Machine Operators"
812,Metal processing and finishing plant operators,"Metal processing and finishing plant operators, monitor and operate single-function process control machinery and equipment to control the conversion, processing and finishing of mineral ores and metals.","Tasks performed usually include: setting up, preparing and adjusting metal and ore processing and finishing machinery; coordinating and monitoring the operation of a particular aspect of metal processing production and finishing; verifying equipment for malfunctions, monitoring gauges, carrying out routine operating tests and arranging for maintenance; checking, testing and analysing sample products; recording data and writing production logs.","Occupations in this minor group are classified into the following unit groups: 8121 Metal Processing Plant Operators 8122 Metal Finishing, Plating and Coating Machine Operators"
813,Chemical and photographic products plant and machine operators,"Chemical and photographic products plant and machine operators monitor and operate machines which process a variety of chemicals and other ingredients to produce pharmaceuticals, toiletries, explosives and photographic or other chemical products.","Tasks performed usually include: operating and monitoring machines and equipment which blend, mix, package and otherwise process chemicals and chemical products to give them the desired properties for further industrial production, or to make finished products. Supervision of other workers may be included.",Occupations in this minor group are classified into the following unit groups: 8131 Chemical Products Plant and Machine Operators 8132 Photographic Products Machine Operators
814,"Rubber, plastic and paper products machine operators","Rubber, plastic and paper products machine operators monitor and operate machines which knead and blend rubber and rubber compounds and produce various components and products from natural and synthetic rubber and plastics, or produce different paper products from paper, paperboard, cardboard and similar materials.",Tasks performed usually include: operating and monitoring machines which knead and blend rubber and rubber compounds and produce various components and products from natural and synthetic rubber and plastics; operating and monitoring machines which produce various paper products; examining outputs for defects and conformity to specifications and adjusting machine settings accordingly.,Occupations in this minor group are classified into the following unit groups: 8141 Rubber Products Machine Operators 8142 Plastic Products Machine Operators 8143 Paper Products Machine Operators
815,"Textile, fur and leather products machine operators","Textile, fur and leather products machine operators monitor and operate various types of machines which prepare, process and treat fibres, yarn, thread, leather or fur; produce, modify and repair footwear, garments and manufacture or dry clean textiles, fur or light leather articles.","Tasks performed usually include: operating and monitoring weaving and knitting machines which process yarn or thread into woven, non-woven and knitted products; operating and monitoring machines which prepare fibres, and spin, double, twist and wind yarn and thread from natural textile fibres; operating and monitoring sewing machines to make, repair, darn and renovate textile, fur, synthetic or leather garments or embroider ornamental designs on garments or other materials; operating and monitoring machines which bleach, shrink, dye and otherwise treat fibres, yarn and cloth or dry clean garments, fur, rugs and carpets; operating and monitoring various machines which prepare leather or treat fur- or wool-bearing pelts; operating and monitoring machines which produce, modify and repair standard, custom or orthopaedic footwear and leather articles such as luggage, brief cases and handbags.","Occupations in this minor group are classified into the following unit groups: 8151 Fibre Preparing, Spinning and Winding Machine Operators 8152 Weaving and Knitting Machine Operators 8153 Sewing Machine Operators 8154 Bleaching, Dyeing and Fabric Cleaning Machine Operators 8155 Fur and Leather Preparing Machine Operators 8156 Shoemaking and Related Machine Operators 8157 Laundry Machine Operators 8159 Textile, Fur and Leather Products Machine Operators Not Elsewhere Classified"
816,Food and related products machine operators,"Food and related machine operators set, operate and attend machinery used to slaughter animals, trim meat from carcasses; bake, freeze, heat, crush, mix, blend and otherwise process foodstuffs, beverages and tobacco leaves.","Task performed usually include: operating and monitoring machinery used to restrain, stun, slaughter animals, and trim carcasses into standard meat and fish cuts; setting, operating and attending machinery and ovens to mix, bake and otherwise prepare bread and flour confectionery products; operating machinery to crush, mix, malt, cook and ferment grains and fruits to produce beer, wines, malt liquors, vinegar, yeast and related products; attending equipment to make jam, toffee, cheese, processed cheese, margarine, syrup, ice, pasta, ice-cream, sausages, chocolate, maize starch, edible fats and dextrin; operating equipment to cool, heat, dry, roast, blanch, pasteurize, smoke, sterilize, freeze, evaporate and concentrate foodstuffs and liquids used in food processing; mixing, pulping, grinding, blending and separating foodstuffs and liquids with churning, pressing, sieving, grinding and filtering equipment; processing tobacco leaves by machine to make cigarettes, cigars, pipe and other tobacco products.",Occupations in this minor group are classified into the following unit groups: 8160 Food and Related Products Machine Operators
817,Wood processing and papermaking plant operators,"Wood processing and papermaking plant operators monitor, operate, and control machinery to saw wood, cut veneer, make plywood, produce pulp and paper, and to otherwise prepare wood, pulp and paper for further use.","Tasks performed usually include: examining logs and rough lumber to determine size, condition, quality and other characteristics to decide best lumber cuts to carry out, or operating automated equipment to convey logs through laser scanners which determine the most productive and profitable cutting patterns; sorting, stacking and placing logs and wood billets onto conveyors and lathes from trucks for processing into chips, veneers and pulp; operating and monitoring screening equipment, bleaching equipment, digesters, mixing tanks, washers, and other pulp processing machinery and equipment to carry out one or more cellulose processing steps; operating and monitoring papermaking and finishing process machinery and equipment to dry, calender, laminate, coat, slit, trim, wind or carry out other papermaking and finishing process steps; observing equipment and machinery panel indicators, gauges, level indicators and other equipment instruments to detect machinery and equipment malfunctions and ensure process steps are carried out according to specifications; operating and monitoring plywood core-laying machines and hot-plate plywood presses and machines which cut veneer; transporting processed wood products to work areas.",Occupations in this minor group are classified into the following unit groups: 8171 Pulp and Papermaking Plant Operators 8172 Wood Processing Plant Operators
818,Other stationary plant and machine operators,"This unit group includes stationary plant and machine operators not classified elsewhere in Sub-major Group 81: Stationary Plant and Machine Operators. The group includes, for instance, operators of machines which make silicon chips and splice cables and ropes.","Tasks performed usually include: monitoring kilns, furnaces and other machinery and equipment used in the manufacture of glass, ceramics, porcelain, tiles or bricks; operating machines to anneal, harden or decorate glass and ceramics; maintaining and operating stationary steam engines, boilers, turbines and auxiliary equipment; operating and monitoring machines which weigh, pack and label products, or fill containers with products;","Occupations in this minor group are classified into the following unit groups: 8181 Glass and Ceramics Plant Operators 8182 Steam Engine and Boiler Operators 8183 Packing, Bottling and Labelling Machine Operators 8189 Stationary Plant and Machine Operators Not Elsewhere Classified"
821,Assemblers,"Assemblers assemble prefabricated parts or components to form subassemblies, products and equipment, according to procedures strictly laid down. The products worked on may be moved from one worker to the next along assembly lines.","Tasks performed usually include: assembling components into various types of products and equipment, according to procedures strictly laid down; reviewing work orders, specifications, diagrams and drawings to determine materials needed and assembly instructions; recording production and operational data on specified forms; inspecting and testing completed components and assemblies, wiring installations and circuits; rejecting faulty assemblies and components.",Occupations in this minor group are classified into the following unit groups: 8211 Mechanical Machinery Assemblers 8212 Electrical and Electronic Equipment Assemblers 8219 Assemblers Not Elsewhere Classified
831,Locomotive engine drivers and related workers,"Locomotive engine drivers and related workers drive, or assist in driving, locomotive engines to transport passengers and freight, take charge of and safeguard railway freight trains during runs; control the movement of railway traffic by operating signals, switch rolling stock and make up trains in railway yards; make up trains for hauling in mines and control their movement.",Tasks performed usually include: driving or assisting in driving railway engines; operating railway signals; switching rolling stock and making up trains in railway yards; making up trains in mines and controlling their movement.,"Occupations in this minor group are classified into the following unit groups: 8311 Locomotive Engine Drivers 8312 Railway Brake, Signal and Switch Operators"
832,"Car, van and motorcycle drivers","Car, van and motorcycle drivers drive and tend motorcycles, motorized tricycles, cars or vans to transport passengers, materials or goods.","Tasks performed usually include: driving and tending motor cycles, motorized tricycles, cars or vans in order to transport materials, goods or passengers.","Occupations in this minor group are classified into the following unit groups: 8321 Motorcycle Drivers 8322 Car, Taxi and Van Drivers"
833,Heavy truck and bus drivers,"Heavy truck and bus drivers drive and tend heavy trucks, lorries, buses or street tramcars to transport goods, liquids, heavy materials, mail or passengers.","Tasks performed usually include: driving and tending heavy trucks, lorries, buses or street tramcars in order to transport goods, liquids, heavy materials, mail or passengers.",Occupations in this minor group are classified into the following unit groups: 8331 Bus and Tram Drivers 8332 Heavy Truck and Lorry Drivers
834,Mobile plant operators,"Mobile plant operators drive, tend, operate and monitor special-purpose motorized machinery or equipment used for clearing or preparing land; digging, moving and spreading earth, rock and similar materials; and lifting or moving heavy objects.","Tasks performed usually include: preparing and positioning plant for operation; adjusting speed, height and depth of implements; driving and operating mobile plant; operating attachments to lift, swing and release trees, logs, earth and other heavy objects or materials; operating and monitoring lifting trucks and stationary or mobile cranes in construction, transportation and storage operations; servicing machinery and performing minor repairs.","Occupations in this minor group are classified into the following unit groups: 8341 Mobile Farm and Forestry Plant Operators 8342 Earthmoving and Related Plant Operators 8343 Crane, Hoist and Related Plant Operators 8344 Lifting Truck Operators"
